date,ICLN,PBW,QCLN,SPY,XLE
2010-01-04,0.023902,0.031818,0.017424,0.01696,0.031574
2010-01-05,0.026766,0.011454,0.015291,0.002647,0.008162
2010-01-06,0.008547,0.014808,0.005422,0.000704,0.011975
2010-01-07,0.002203,-0.002575,0.0,0.004221,-0.0015
2010-01-08,0.008794,0.012048,-0.002397,0.003328,0.00651
2010-01-11,0.006287,0.00085,0.007808,0.001397,-0.001327
2010-01-12,-0.029988,-0.024639,-0.026669,-0.009326,-0.014447
2010-01-13,0.006956,-0.005226,-0.000153,0.008446,0.003707
2010-01-14,-0.026949,-0.021891,-0.02327,0.002705,0.002854
2010-01-15,-0.026486,-0.024172,-0.027586,-0.011224,-0.008035
2010-01-19,-0.006104,0.004587,0.005803,0.012496,0.009112
2010-01-20,-0.039855,-0.014612,-0.002038,-0.010169,-0.015552
2010-01-21,-0.02033,-0.031511,-0.021082,-0.019229,-0.020384
2010-01-22,-0.037026,-0.043062,-0.044619,-0.022292,-0.023756
2010-01-25,0.0125,0.014,0.009615,0.005128,0.006572
2010-01-26,0.0,-0.004931,0.0,-0.004191,-0.006353
2010-01-27,-0.018272,-0.005947,-0.003401,0.004757,-0.003907
2010-01-28,-0.00835,-0.026919,-0.021843,-0.011472,-0.010519
